WID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Mean,Class
6111100.0,0.0059564669505994,0.0104220684531096,0.0207490597998836,0.0240682329087893,0.0113160429111823,0.1413640091491493,0.0818364419664999,0.0093648431815903,0.0002124724810528,0.0305200354464977,0.0873195238157376,0.020931250897717,0.0402026472338111,0.0120820760625448,0.0148573517452139,0.0583271418446644,0.0011905121929326,0.0018244396013145,0.0350138453329928,0.0,0.0,0.0157150262283991,0.0,0.006154794289958,0.0,0.025177131299745605,SRD
6113050.0,0.0049979968946787,0.0022455430186594,0.0109374612951171,0.0131551510326837,0.0023519883829909,0.0678101071203856,0.0381976404164318,0.0013824844569507,3.6716937893378194e-05,0.0301781083077435,0.0254555121289961,0.0029296062301358,0.0227692210585624,0.0102162936168844,0.0063720439220362,0.0199425049939992,0.0,0.0,0.0179919195421074,0.0,0.0,0.0054683032847225,0.0,0.0003962253777997,0.0,0.011313393120751136,SRD
6113110.0,0.005494468694545,0.0024686021376712,0.0120239247743033,0.0144619068487312,0.0025856211623572,0.074545966833909,0.0419919707627312,0.0015198123827364,4.036418390525769e-05,0.0331758252058985,0.0279841139247786,0.0032206161904508,0.0250309823998975,0.0112311205139033,0.0070050055227464,0.0219234768827081,0.0,0.0,0.019779131672557,0.0,0.0,0.0060114925725892,0.0,0.000435584091023,0.0,0.012437199470297691,SRD
6116200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RD
6119110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RD
6123100.0,0.0433057556819772,0.0078505045182837,0.0524204405415697,0.0705693615075972,0.0517475299597199,0.1293074448077438,0.1928655139197972,0.0027453018141758,0.0086989257705038,0.1540649778190952,0.14303771171486,0.07530857781648,0.0832808642681419,0.0911947930223675,0.0065621445875288,0.0645858398641877,0.0001123792490891,0.0277344103706628,0.051640592292417,0.0162520574332191,0.0,0.0178480943204741,0.0099667396498263,0.0201315724677338,6.261958558501928e-05,0.052851766119321464,SRD
6123210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RD
6123400.0,0.0001044808556199,0.0,0.0003794678954897,0.0042746233197223,0.0002449363453028,0.0293392246033191,0.067319096737514,0.0,0.0,0.0321586045248634,0.0704362151727075,0.0075234886096327,0.0106039226969088,0.0137094284571557,0.0,0.0070113001056186,0.0,0.0,0.0027087575320513,0.0,0.0,0.0,0.0,0.0,0.0,0.009832541874236232,SRD
6140100.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1569164713899897,1.0,1.0,1.0,1.0,1.0,1.0,0.7813878372695401,1.0,0.8390374455433084,1.0,1.0,1.0,0.641752352506822,1.0,1.0,1.0,0.5821660600672889,0.9200504066710777,SD
6140101.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1401176225764912,0.9919906706554574,1.0,1.0,1.0,1.0,1.0,0.7740867298284166,1.0,0.8105286052955325,1.0,1.0,1.0,0.6088922424525808,1.0,1.0,0.9893443134642496,0.5585702105697066,0.9149412157936974,SD
6140120.0,0.9434102307061328,0.9904380319990022,1.0,1.0,1.0,1.0,1.0,0.0788851463202775,0.7051281962834608,1.0,1.0,1.0,0.9880966034683024,1.0,0.3906046693376528,0.534798814981234,0.1530316346891996,1.0,0.9239479644224968,0.8524062583369474,0.194302217128463,0.8998771333633433,0.4564875811938863,0.5081524619812886,0.1083740798353671,0.7491176409618824,SD
6140130.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SD
6140140.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6580277830362319,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9454670324921608,1.0,1.0,1.0,0.7697527483105658,0.9749299025535584,SD
6140150.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1716429675107699,0.9208078848681104,1.0,1.0,1.0,1.0,1.0,0.834012035490548,0.8991433743909478,0.4012616201503173,1.0,1.0,0.9058172040434967,0.3125046342829478,1.0,0.7558295705190617,0.820306213442894,0.2481012459728398,0.8507770700268774,SD
6140250.0,0.8023848857512049,0.9823598492089216,0.9574304049398736,1.0,1.0,1.0,1.0,0.0143698168872228,0.4594913289687723,1.0,1.0,1.0,0.9898613402316914,1.0,0.5226261167283183,0.5638812437729996,0.0988264847036276,1.0,0.8678822942476279,0.6330746770182751,0.0681500638826744,0.9348966361318308,0.2898972770734891,0.3846729068921289,0.0351321772564971,0.7041975001478061,SD
6140300.0,0.9367551814488496,1.0,0.9597626515688604,1.0,1.0,1.0,1.0,0.1278221119666168,0.7126309272430837,1.0,1.0,1.0,0.9934702134743236,1.0,0.5991649439795281,0.6156050228180974,0.2281033766882301,1.0,0.9197638051625652,0.6843698361824263,0.2024639983722111,0.954353894467868,0.4346902554875282,0.5312616186416483,0.1646487111894861,0.7625946619476527,SD
6140400.0,0.7745767301690432,0.9182040003281844,0.8954705303752305,1.0,0.9937990711015564,0.9863631683510724,1.0,0.0516022064586371,0.4824861549355572,0.9974123955239494,1.0,1.0,0.9324006593721432,0.9969288348896908,0.4130309580611248,0.4710602042585033,0.1497351545744208,0.9967815582844424,0.7942226009964546,0.6022162020634854,0.1306077784854507,0.8393496107005166,0.3056815669635989,0.36028886141119,0.0794795542033619,0.6868679120603046,SD
6140401.0,0.7847831489422942,0.9192478173291166,0.8983607226497663,1.0,0.9935814931673372,0.986203817538112,1.0,0.0532360131537729,0.4955816473181237,0.997303864085764,1.0,1.0,0.9339510911575656,0.9967569393860244,0.4139513481853503,0.477418475583559,0.1532604485902924,0.9966238206171866,0.7985453050790287,0.609349163396739,0.1343749151862205,0.8364002668272176,0.3116496664989931,0.3667881385068748,0.081112579093187,0.689539227291701,SD
6140450.0,0.9926114403530144,1.0,1.0,1.0,1.0,1.0,1.0,0.0926976643473064,0.8065838259812416,1.0,1.0,1.0,1.0,1.0,0.446396229677225,0.5911591271852729,0.1651993493790378,1.0,0.9929577352453686,0.9091836141917754,0.1968790619802499,0.9483918831899664,0.4564923709045634,0.5575370491863887,0.1079798047663229,0.7705627662555093,SD
6140500.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4657363270330419,0.9107298285595382,1.0,1.0,1.0,1.0,1.0,0.7775102296863082,0.8989237605374734,0.7198155960021755,1.0,1.0,0.994586375382236,0.6812476934380066,1.0,0.8429939038820798,0.8287488659968997,0.4904912352506849,0.9044313526307377,SD
6140600.0,0.9807205375054014,0.974155448264892,1.0,1.0,1.0,1.0,1.0,0.0286331836820576,0.7218160098009031,1.0,1.0,1.0,1.0,1.0,0.3622074609005651,0.5521315274316017,0.2897354234229726,1.0,0.9244765233153855,0.8860441235953075,0.2281394901397769,0.9206075513197828,0.484989891572375,0.4887984389055709,0.0461850834507058,0.7555456277322921,SD
6140700.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2068938476726285,0.9762141141220462,1.0,1.0,1.0,1.0,1.0,0.7230372828031058,0.9367012819717124,0.7897943898736218,1.0,1.0,1.0,0.6716599203820163,1.0,0.9495243263507456,0.9130593635034036,0.4048420983652392,0.9028690650017808,SD
6142100.0,1.0,0.9787870954355982,1.0,1.0,1.0,1.0,1.0,0.134732370081018,0.9171265336658472,1.0,1.0,1.0,1.0,1.0,0.6068016739361917,0.852182319714345,0.6773609211950786,1.0,0.9980121237466584,0.998469511271034,0.482364159020694,1.0,0.8486044730775756,0.8443914901851316,0.2891883407520156,0.8651208404832473,SD
6142101.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2713914135568354,0.9872743725275543,1.0,1.0,1.0,1.0,1.0,0.8249866872717861,1.0,0.8897358071154492,1.0,1.0,1.0,0.7326270351735938,1.0,1.0,1.0,0.6171493526685156,0.9329265867325494,SD
6142110.0,0.9200656521760576,0.8944842719052741,0.9684907184885012,1.0,0.999110509432816,0.9966930171367042,1.0,0.0477724362110206,0.6541548576873276,0.9977514403392784,1.0,1.0,0.9587922323058004,1.0,0.4545460080284813,0.5090587974732946,0.2469679677846394,1.0,0.8688634461471669,0.7219538706377449,0.2536798462798848,0.7945871028282145,0.3727895051041781,0.4254255129755088,0.0547051324190851,0.7255956930144388,SD
6142120.0,0.9910070791090289,0.8995398021013475,1.0,1.0,1.0,1.0,1.0,0.0679877511956751,0.6731479421156104,1.0,1.0,1.0,0.9988603457221136,1.0,0.2871389929927181,0.6240023124179391,0.3772551029840931,1.0,0.9163952326207736,0.8900044583701101,0.2194453525591546,0.8561480659688735,0.5600473105805879,0.5023545888709369,0.0863236407087411,0.7579863191327081,SD
6142150.0,0.9301266439963868,0.8605446766150685,0.983362160814166,1.0,0.9995572994404296,0.998354110523392,1.0,0.0498708130917753,0.6159754020385437,0.997662124444356,1.0,1.0,0.9692289119946336,1.0,0.3369225965499831,0.5107325868161134,0.2725949484041878,1.0,0.8581010745297536,0.764221171279497,0.2107794135278197,0.7677832660230144,0.4101973506551181,0.4109601530623504,0.0603587313886529,0.7202933374078097,SD
6142160.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1552850546405693,0.9816845353518804,1.0,1.0,1.0,1.0,1.0,0.7118067865006391,0.8328009627060018,0.5994071165273739,1.0,1.0,1.0,0.5632873172352659,1.0,0.7571957462357367,0.8020194260324176,0.1713076820697651,0.8629917850919859,SD
6142170.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2306325536136294,1.0,1.0,1.0,1.0,1.0,1.0,0.7513975640728778,0.8473453822430734,0.5167244632770506,1.0,1.0,1.0,0.6005391924112281,1.0,0.7575549612075029,0.8554289759442341,0.3184297386794064,0.8751221132579603,SD
6142190.0,1.0,0.9952786106461692,1.0,1.0,1.0,1.0,1.0,0.0213592659236639,0.8913389255380284,1.0,1.0,1.0,1.0,1.0,0.5271120958764298,0.7845630421821886,0.5692748201708763,1.0,1.0,1.0,0.3791099104955716,1.0,0.7765435070911908,0.7582301887701595,0.1190778642337284,0.8328755292371202,SD
6142200.0,0.805382295259068,0.7290138097624707,0.8801818098662098,1.0,0.9611561387973692,0.9922626346249436,1.0,0.1883225191575817,0.5345524840361991,0.991570080128906,0.9991061619285624,0.999467236186592,0.949130690866939,0.991542876808744,0.3048232095899616,0.6516983743792195,0.2544491984402602,0.9977235241825712,0.7752397719916327,0.6287798013934355,0.2543555101243712,0.6918069313830771,0.3852433531494121,0.3968635331217753,0.1825871532716921,0.7018103639380397,SD
6142250.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0594659389764182,0.9920410502085036,1.0,1.0,1.0,1.0,1.0,0.7909894767820654,0.9103037642118564,0.3906637738484337,1.0,1.0,1.0,0.4194826358982966,1.0,0.7125608633418296,0.7850700812390988,0.0382286537564563,0.8439522495305184,SD
6142260.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0661028605857571,0.9862713454280172,1.0,1.0,1.0,1.0,1.0,0.6492184852169628,0.8364984550245482,0.562258641597313,1.0,1.0,1.0,0.4923342670471699,1.0,0.7506980671053349,0.7859714505729507,0.0927072978964593,0.8488824348189806,SD
6142270.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5060555636882782,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7946703284978867,1.0,1.0,1.0,0.8829670324921608,1.0,1.0,1.0,0.5171978175640106,0.9480356296896935,SD
6142300.0,1.0,0.9871816641245078,1.0,1.0,1.0,1.0,1.0,0.1420131004229318,0.856378815611026,1.0,1.0,1.0,1.0,1.0,0.2459863583907099,0.8503540432198476,0.494659632116639,1.0,0.9939456468058412,0.9774303130378342,0.2878198849674041,0.950615496271242,0.825232128558741,0.6863125736244029,0.0817294681020095,0.8151863650101256,SD
6142520.0,1.0,0.8522499858206518,1.0,1.0,1.0,1.0,1.0,0.1695378154433455,0.8999567739921327,0.9999229237939956,1.0,1.0,1.0,1.0,0.1765199041002549,0.7048373799496009,0.4752402773915701,1.0,0.921222720980404,0.9611918807255032,0.3902038247143631,0.6176264218832501,0.5965444738758982,0.3875278257204311,0.0441778677459256,0.767870403045493,SD
6142551.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5948797239261452,1.0,1.0,1.0,1.0,1.0,1.0,0.6854446228214673,1.0,0.8979502717836972,1.0,1.0,1.0,0.7984681688888662,1.0,0.995866699022554,0.8433827248747805,0.2515940304965213,0.9227034496725611,SD
