MRBID,RIVERBASIN,AREA,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
2201,ORONTES,46950.31855811672,-0.9804927599832901,1.6414424342838794,0.34371295768546034,0.029990485084764443,-0.7037762643096444,-0.05319784823119232,0.2760512193663643,-0.6840329172116216,0.9327923567222504,-0.8024896634069698
2904,DEAD SEA,54249.87669983742,-0.18717564439027878,0.44879974196628625,0.14711450148599436,0.10522393802609016,-0.16606194260613066,-0.07584168427064525,0.118734228375093,-0.19677702493829516,0.010422450332801701,-0.2044385639809161
6101,JOKULSA A FJOLLUM,7600.055355001968,86.40067078483337,69.18580087468833,31.021093198640564,-26.658223551166035,-26.658223551166035,-26.658223551166035,-26.658223551166035,-26.658223551166035,-26.658223551166035,-26.658223551166035
6102,KEM,42365.56893197461,-12.975603843145729,10.024786097711441,10.328546412736845,-17.387192870736097,13.985933784110484,6.649157198141998,17.21509415880055,-3.3542988341166575,1.1817314244238148,-25.66815352792663
6103,KOVDA,10414.848960521753,-7.111028691497212,12.889107168842274,3.0938291040713377,-12.422000098577783,10.90416490605634,12.004963576109756,13.72324276808035,-0.8600450016596892,-7.76224114325778,-24.459992588167573
6104,LAGARFLJOT,3332.5603745255603,63.892028521488484,56.99645588350445,35.29980776489244,-22.312613167126482,-22.312613167126482,-22.312613167126482,-22.312613167126482,-22.312613167126482,-22.312613167126482,-22.312613167126482
6105,MEZEN,77249.00234100278,20.303546658936934,16.067412549893533,12.288738399591347,22.174035584907752,-0.9749781681481176,10.578545835231498,-20.109325215103237,-20.109325215103237,-20.109325215103237,-20.109325215103237
6106,ONEGA,63244.662169959614,13.279394054117303,21.029476462531154,13.115370945927419,8.236803075196612,4.232730018588702,13.585103810770287,-3.7707527264825638,-20.39226883769821,-14.01987593876251,-35.29598086418826
6107,PECHORA,316307.28751609434,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6108,PONOY,14345.611960392069,-1.5373382719381234,-0.21419676963648634,-2.8870129527225337,9.863418326577687,1.789372472076161,8.20566268228745,18.24546971184563,0.8493870274887622,-0.6242086962733548,-33.69055352970516
6109,SEVERNAYA DVINA,308660.78882485436,27.87115472000936,26.798242293887547,27.454773102577576,24.980673011939725,0.8079388600538793,14.048589210071762,-27.60076321023061,-29.684839406932003,-29.58646535640761,-35.089303224969726
6110,SVARTA,3594.903898080324,78.26053075552261,59.61342242727357,18.808299522633806,-22.383178957918574,-22.383178957918574,-22.383178957918574,-22.383178957918574,-22.383178957918574,-22.383178957918574,-22.383178957918574
6111,TANA,16872.1287217794,-9.182169086770088,1.3514574314779566,-5.790248384621034,2.4790842195236125,0.25577611335512296,-1.7514679353689568,25.92462364647314,8.107193681644729,0.2626718192166818,-21.656921504931127
6112,TULOMA,26591.837764430536,-7.812639261409567,0.739048985976385,-4.783963823481285,-1.4179768719904438,8.628067184435475,6.337084844439785,19.114950032689226,11.208793075227861,-4.060380611446794,-27.95298355444062
6113,VARZUGA,5915.780689757753,-6.355492469391572,12.526509563431642,1.5376354162024917,-6.876700103628928,4.200689068051038,11.574409173248158,17.65209887506181,-4.5863078029240425,-1.0455628310927716,-28.627278888957832
6114,VYG,31521.13601534964,-15.10476394736761,3.8124815425727596,5.577437560957767,-15.516545341755524,7.703303326460563,8.215288327282897,21.82872036429031,-6.046200505264258,13.659295307238635,-24.129016634415496
6201,ANGERMANALVEN,31638.686654434896,-1.9996317133835368,10.361431346666532,8.344173438655384,-7.068212315378007,9.106793980824005,9.597711055823417,10.243658522712343,-9.489404538415636,2.9306546945983114,-32.02717447210285
6202,DANUBE,797335.1485306777,-5.614180368935646,0.342840603211004,2.1619238615377,2.174838290443183,6.309223684183403,1.7577665234991615,-2.186197290087035,2.538185403250624,0.10304282200903368,-7.587443529111456
6203,"DAUGAVA (also ZAPADNAYA DVINA, also ZAKHODNAYA DZVINA)",86019.60958811837,-19.5124218317536,9.18900907855151,3.588885493643967,-0.9881216695776656,-5.086652677482427,0.9281314328016609,-5.556114641004703,10.366716564783964,13.649955371592203,-6.5793871215549355
6204,DNIEPER,511694.73889551475,-12.115813512018253,5.025757737302638,2.0976948707668837,2.515504249228385,3.4603681029189293,0.34464663422252106,-7.553425989311071,9.220629798920465,10.149985257944005,-13.14534714997459
6205,DNIESTR,73381.76733741183,-4.654359507675228,1.5843148056216143,0.35621600611716764,4.471117828680382,4.732391014145287,1.791840502308392,-2.821816829002677,3.815981092281048,2.1902090318174383,-11.46589394429343
6206,DON,439141.6576055678,0.5904413989920787,8.586394825008528,6.29384115561941,7.3594915383831,8.017005020944149,4.907559721611945,-8.202652919658945,-6.7217701115454656,-2.677120866553702,-18.15318976280108
6207,DORDOGNE,23838.024687421144,-0.8703914168854827,0.1124748410607664,2.7404015642944537,-1.610052648509153,2.103261816335746,2.770092324155595,-1.383920535130447,-0.1284103935138247,-1.526789795231798,-2.2066657565758545
6208,DOURO (also DUERO),97379.6022855506,0.16816285248776947,1.7731414457471388,1.017736401959651,-1.2928525221144784,3.6406555829565246,-0.5574896987376561,-0.973084409801092,-0.23362737712060178,-1.8935888222282646,-1.6490534531489927
6209,DRAMSELVA,17269.318518472464,15.699546209981598,4.082511902275265,3.875381611006501,-4.665517303979884,16.526387349199993,14.145985448670752,-4.316866874641946,-13.25567790309885,-10.471025258822374,-21.620725180591094
6210,EBRO,85587.90130788297,0.17707886483998989,0.5642499433574849,1.6785925910839232,-1.3604499713450093,4.5228230749273,0.48391301918565555,-0.8433024390079553,0.2038546529890163,-2.6441047342444395,-2.7826550017859657
