MRBID,RIVERBASIN,AREA,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,MEAN,CLASS
2201,ORONTES,46950.31855811672,0.1422055421041262,2.764140736371295,1.4664112597728751,1.1526887871721805,0.4189220377777721,1.0695004538562238,1.39874952145378,0.4386653848757947,2.0554906588096657,0.3202086386804463,1.122698302087416,SRD
2904,DEAD SEA,54249.87669983742,0.0191783043512924,0.6551536907078576,0.3534684502275654,0.3115778867676613,0.0402920061354406,0.1305122644709259,0.3250881771166642,0.0095769238032761,0.2167763990743729,0.0019153847606552,0.20635394874157115,SRD
6101,JOKULSA A FJOLLUM,7600.055355001968,113.05889433599936,95.84402442585426,57.679316749806596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.65822355116602,SRD
6102,KEM,42365.56893197461,59.45058367225,82.45097361310741,82.75473392813254,55.03899464465955,86.41212129950614,79.07534471353766,89.64128167419635,69.07188868127899,73.60791893981944,46.75803398746908,72.42618751539571,SD
6103,KOVDA,10414.848960521753,64.19268711310943,84.19282297344903,74.39754490867801,58.88171570602892,82.20788071066299,83.30867938071646,85.02695857268701,70.443670802947,63.541474661348886,46.84372321643909,71.30371580460667,SD
6104,LAGARFLJOT,3332.5603745255603,86.20464168861501,79.30906905063095,57.61242093201891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.31261316712649,SRD
6105,MEZEN,77249.00234100278,40.41287187404016,36.17673776499679,32.39806361469458,42.28336080001099,19.13434704695512,30.68787105033472,0.0,0.0,0.0,0.0,20.109325215103233,SRD
6106,ONEGA,63244.662169959614,76.66915095403812,84.41923336245196,76.5051278458481,71.62655997511729,67.62248691850941,76.9748607106912,59.6190041734382,42.997488062222594,49.36988096115829,28.093776035732574,63.38975689992078,SD
6108,PONOY,14345.611960392069,79.18522073227315,80.50836223457476,77.83554605148863,90.58597733078896,82.5119314762875,88.92822168649873,98.96802871605688,81.57194603170007,80.09835030793789,47.03200547450609,80.72255900421126,SD
6109,SEVERNAYA DVINA,308660.78882485436,67.87265463988223,66.79974221376014,67.45627302245032,64.98217293181241,40.80943877992658,54.05008912994438,12.400736709642104,10.316660512940734,10.415034563465124,4.912196694902994,40.0014999198727,SD
6110,SVARTA,3594.903898080324,100.64370971344115,81.99660138519215,41.191478480552384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.383178957918567,SRD
6111,TANA,16872.1287217794,55.97653628461011,66.51016280285813,59.36845698675911,67.63778959090378,65.41448148473532,63.40723743601127,91.08332901785327,73.265899053025,65.42137719059684,43.50178386644902,65.15870537138018,SD
6112,TULOMA,26591.837764430536,65.01619278471937,73.56788103210532,68.04486822264768,71.41085517413856,81.45689923056443,79.16591689056874,91.9437820788182,84.0376251213568,68.76845143468218,44.87584849168833,72.82883204612895,SD
6113,VARZUGA,5915.780689757753,65.43433676058541,84.31633879340866,73.3274646461795,64.91312912634807,75.99051829802804,83.3642384032251,89.4419281050388,67.20352142705293,70.74426639888419,43.16255034101916,71.78982922997699,SD
6114,VYG,31521.13601534964,54.97204868977429,73.88929417971474,75.65425019809966,54.56026729538638,77.7801159636025,78.29210096442483,91.90553300143222,64.03061213187765,83.73610794438056,45.94779600272635,70.07681263714191,SD
6201,ANGERMANALVEN,31638.686654434896,66.91378985641185,79.27485291646197,77.2575950084507,61.8452092544174,78.02021555061951,78.51113262561886,79.15708009250774,59.42401703137971,71.84407626439372,36.886247097692646,68.91342156979542,SD
6202,DANUBE,797335.1485306777,10.4411705982066,16.398191570353166,18.217274828679773,18.230189257585295,22.36457465132574,17.813117490641233,13.869153677055149,18.593536370392645,16.158393789151145,8.467907438030757,16.05535096714215,SRD
6203,"DAUGAVA (also ZAPADNAYA DVINA, also ZAKHODNAYA DZVINA)",86019.60958811837,21.311129568400673,50.01256047870572,44.412436893798265,39.83542973057662,35.73689872267187,41.75168283295584,35.26743675914956,51.19026796493833,54.47350677174641,34.244164278599314,40.82355140015427,SD
6204,DNIEPER,511694.73889551475,16.93853004225313,34.0801012915742,31.152038425038224,31.5698478034998,32.514711657190354,29.3989901884938,21.50091756496028,38.27497335319182,39.20432881221539,15.908996404296731,29.054343554271373,SRD
6205,DNIESTR,73381.76733741183,15.70598997201196,21.9446642853088,20.71656548580434,24.831467308367593,25.09274049383248,22.1521899819956,17.538532650684513,24.17633057196827,22.55055851150463,8.894455535393742,20.360349479687194,SRD
6206,DON,439141.6576055678,25.752932223836,33.74888564985248,31.456331980463403,32.52198236322716,33.17949584578818,30.07005054645595,16.95983790518496,18.440720713298457,22.485369958290203,7.009301062042743,25.16249082484395,SRD
6207,DORDOGNE,23838.024687421144,3.76467715745136,4.747543415397613,7.375470138631301,3.025015925827694,6.738330390672591,7.405160898492447,3.2511480392063987,4.506658180823022,3.1082787791050497,2.428402817760993,4.635068574336847,SRD
6208,DOURO (also DUERO),97379.6022855506,2.950876618577406,4.555855211836771,3.8004501680492857,1.4898612439751588,6.423369349046154,2.225224067351981,1.809629356288544,2.5490863889690334,0.8891249438613736,1.1336603129406428,2.7827137660896346,SRD
6209,DRAMSELVA,17269.318518472464,80.42946241375522,68.81242810604888,68.60529781478009,60.06439889979375,81.2563035529736,78.87590165244436,60.413049329131645,51.474238300674806,54.25889094495124,43.10919102318253,64.72991620377361,SD
6210,EBRO,85587.90130788297,5.836617329204596,6.223788407722086,7.338131055448525,4.299088493019589,10.182361539291891,6.143451483550249,4.816236025356643,5.863393117353614,3.0154337301201553,2.87688346257863,5.6595384643646,SRD
