MRBID,RIVERBASIN,AREA,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,MEAN,CLASS
2201,ORONTES,46950.31855811672,0.3971045107702659,2.6042121701025858,1.6397109404087962,0.9332792924481592,2.642282955957525,2.8302356479364823,1.1389960357971207,1.151087053173724,1.5738356027936302,1.0380596356522598,0.9370260736578804,0.4630515246248055,0.8357020362469223,3.0620023533969074,,1.5176132737833616,SRD
2904,DEAD SEA,54249.87669983742,0.0345147261945344,0.3629475918793292,0.249455180579478,0.1307491873351622,0.4146143952247443,0.4068553903729233,0.3900193700702043,0.1919364843543733,0.3053230168059253,0.159391250187475,0.1630967823758293,0.0441094319191184,0.2247370671203073,1.0615214040510386,,0.2956622341764602,SRD
6101,JOKULSA A FJOLLUM,7600.055355001968,109.3305706334946,96.9009266973499,88.46154034981102,102.25247573330454,86.11373919921637,89.66142761880502,83.27378989802517,85.68024790038592,95.66069355671178,104.9647607354269,99.91265122633128,95.5590059510481,103.17428141611424,115.80262601367238,,96.91062406640697,SD
6102,KEM,42365.56893197461,71.33676814450314,71.93928749142259,70.32637430692454,78.36826549960657,55.633177053753336,70.88974273997638,69.49009917908262,67.76078440877987,70.66211268744432,85.329231777145,56.24336850713422,70.69930232493098,65.86351698393555,85.531643626323,,70.71954819506871,SD
6103,KOVDA,10414.848960521753,69.24749704073764,74.0995226057585,64.5335544526821,73.8564334287419,62.05934478238397,73.65807748370575,67.70595504599119,69.6444758165564,74.88757813951013,85.10447802187869,48.78487051723258,64.3773050640204,67.73772856658108,85.50932873409067,,70.08615354999077,SD
6104,LAGARFLJOT,3332.5603745255603,76.21224482240028,81.51571490320507,62.33507242675877,73.22058088465099,64.02317368462127,63.13550440577464,57.26061419146259,67.22202178279024,69.34438797209053,94.92569700605164,89.30529669175606,78.44742063268468,80.36103011116923,88.2020002860153,,74.67933998581654,SD
6105,MEZEN,77249.00234100278,33.70168638440488,45.313568486207856,36.281769360270545,39.15953790020215,37.18851915876377,34.51128233181966,40.88883230029198,31.894206415613336,29.07285871441328,37.32485542559955,33.992594237473426,35.19636750317834,29.068374896170106,35.976649041710346,,35.68365015400851,SD
6106,ONEGA,63244.662169959614,77.05539911042511,84.83427002082333,95.8832128610913,91.34643181315532,71.6099219927863,70.39084830740877,73.72479252102433,62.4058412096214,69.65168880214209,91.22000121355497,80.47868617174926,64.28604773280081,70.69708789826481,67.71582466822595,,76.52143245164812,SD
6108,PONOY,14345.611960392069,69.25260732485886,89.56090736761303,78.86378570750811,86.12359618169786,75.92775864840354,61.47893672540834,74.531421934654,73.7210667252879,76.39282586612353,76.78341869161446,69.91110172880792,75.34085625560557,62.36545028323803,88.97867921551818,,75.65945804688138,SD
6109,SEVERNAYA DVINA,308660.78882485436,70.03425993906662,82.2689592311965,84.48535040551567,77.39322774112519,66.70819964619298,57.80511147605172,70.38496038721765,55.50184560568432,57.84949281383241,78.50302456135917,71.14110601788822,57.16465481641469,62.72187355631853,61.72488106579816,,68.1204962331187,SD
6110,SVARTA,3594.903898080324,99.05601335740724,95.85399055792836,72.21753962310368,88.19279406141204,75.49481383176092,79.53621370971719,81.12534135368202,75.33808181526211,88.80580490831306,90.58539560098812,88.5652100040946,84.21593698550843,97.74687224050749,112.2914181809416,,87.7875304450448,SD
6111,TANA,16872.1287217794,48.77946023957296,80.85730971348796,53.46453532569232,61.60632621657166,56.225032750936606,50.52783754979229,68.22026180973594,55.788080956036254,67.74742298054312,58.8565914547903,40.4157467693714,57.93208682987272,59.4308606816821,64.30186103913148,,58.868101022658365,SD
6112,TULOMA,26591.837764430536,68.80209584204587,89.2308805716425,77.07224126234104,77.86825309700005,67.14354220249591,66.55890867974102,69.70636815720535,67.87369150582724,75.00753385017836,75.64802304162025,58.95847156100721,64.50108352316882,69.90693211529296,72.09715292467332,,71.45536988101713,SD
6113,VARZUGA,5915.780689757753,61.20032273779541,75.37119380937698,71.40702554785554,79.82855104636683,57.60297543450421,62.55576603550599,58.6623092813196,60.30784241189583,69.90372453873134,76.67129419520226,56.664796632739034,67.53524147963635,59.31716356607763,85.00559004601251,,67.28812834021569,SD
6114,VYG,31521.13601534964,71.41339639227928,78.04602239399344,76.7524978188129,83.10441524826905,52.08649451141855,65.91369850021115,59.50115112065401,56.25814206867834,57.16774457317222,76.94713636301864,66.43714965799884,60.48448687521128,58.07381955590606,59.52238979715432,,65.83632463405557,SD
